BBN, Tritium decay, in eV^-1 cm^-2 s^-1 	

    Energy[eV]         Flux   
   2.9000000e-03   9.1279000e-04
   3.0000000e-03   9.4149000e-04
   3.1000000e-03   9.7002000e-04
   3.2000000e-03   9.9837000e-04
   3.3000000e-03   1.0265000e-03
   3.4000000e-03   1.0546000e-03
   3.5000000e-03   1.0824000e-03
   3.6000000e-03   1.1100000e-03
   3.7000000e-03   1.1375000e-03
   3.8000000e-03   1.1649000e-03
   3.9000000e-03   1.1920000e-03
   4.0000000e-03   1.2190000e-03
   4.1000000e-03   1.2458000e-03
   4.2000000e-03   1.2725000e-03
   4.3000000e-03   1.2989000e-03
   4.4000000e-03   1.3253000e-03
   4.5000000e-03   1.3514000e-03
   4.6000000e-03   1.3774000e-03
   4.7000000e-03   1.4032000e-03
   4.8000000e-03   1.4289000e-03
   4.9000000e-03   1.4544000e-03
   5.0000000e-03   1.4797000e-03
   5.1000000e-03   1.5049000e-03
   5.2000000e-03   1.5299000e-03
   5.3000000e-03   1.5548000e-03
   5.4000000e-03   1.5795000e-03
   5.5000000e-03   1.6040000e-03
   5.6000000e-03   1.6284000e-03
   5.7000000e-03   1.6526000e-03
   5.8000000e-03   1.6767000e-03
   5.9000000e-03   1.7006000e-03
   6.0000000e-03   1.7244000e-03
   6.1000000e-03   1.7480000e-03
   6.2000000e-03   1.7715000e-03
   6.3000000e-03   1.7948000e-03
   6.4000000e-03   1.8180000e-03
   6.5000000e-03   1.8410000e-03
   6.6000000e-03   1.8638000e-03
   6.7000000e-03   1.8865000e-03
   6.8000000e-03   1.9091000e-03
   6.9000000e-03   1.9315000e-03
   7.0000000e-03   1.9538000e-03
   7.1000000e-03   1.9759000e-03
   7.2000000e-03   1.9979000e-03
   7.3000000e-03   2.0197000e-03
   7.4000000e-03   2.0414000e-03
   7.5000000e-03   2.0629000e-03
   7.6000000e-03   2.0843000e-03
   7.7000000e-03   2.1055000e-03
   7.8000000e-03   2.1266000e-03
   7.9000000e-03   2.1476000e-03
   8.0000000e-03   2.1684000e-03
   8.1000000e-03   2.1891000e-03
   8.2000000e-03   2.2097000e-03
   8.3000000e-03   2.2301000e-03
   8.4000000e-03   2.2503000e-03
   8.5000000e-03   2.2705000e-03
   8.6000000e-03   2.2904000e-03
   8.7000000e-03   2.3103000e-03
   8.8000000e-03   2.3300000e-03
   8.9000000e-03   2.3496000e-03
   9.0000000e-03   2.3690000e-03
   9.1000000e-03   2.3883000e-03
   9.2000000e-03   2.4075000e-03
   9.3000000e-03   2.4266000e-03
   9.4000000e-03   2.4455000e-03
   9.5000000e-03   2.4642000e-03
   9.6000000e-03   2.4829000e-03
   9.7000000e-03   2.5014000e-03
   9.8000000e-03   2.5198000e-03
   9.9000000e-03   2.5380000e-03
   1.0000000e-02   2.5562000e-03
   1.1000000e-02   2.7304000e-03
   1.2000000e-02   2.8922000e-03
   1.3000000e-02   3.0422000e-03
   1.4000000e-02   3.1808000e-03
   1.5000000e-02   3.3086000e-03
   1.6000000e-02   3.4259000e-03
   1.7000000e-02   3.5333000e-03
   1.8000000e-02   3.6311000e-03
   1.9000000e-02   3.7198000e-03
   2.0000000e-02   3.7998000e-03
   2.1000000e-02   3.8714000e-03
   2.2000000e-02   3.9351000e-03
   2.3000000e-02   3.9912000e-03
   2.4000000e-02   4.0400000e-03
   2.5000000e-02   4.0819000e-03
   2.6000000e-02   4.1172000e-03
   2.7000000e-02   4.1462000e-03
   2.8000000e-02   4.1692000e-03
   2.9000000e-02   4.1866000e-03
   3.0000000e-02   4.1985000e-03
   3.1000000e-02   4.2053000e-03
   3.2000000e-02   4.2073000e-03
