Geoneutrinos, in eV^-1 cm^-2 s^-1

    Energy [eV]        Flux 
   4.1850000e+05   7.1207000e+01
   4.1950000e+05   7.1335000e+01
   4.2050000e+05   7.1464000e+01
   4.2150000e+05   7.1591000e+01
   4.2250000e+05   7.1715000e+01
   4.2350000e+05   7.1840000e+01
   4.2450000e+05   7.1965000e+01
   4.2550000e+05   7.2090000e+01
   4.2650000e+05   7.2215000e+01
   4.2750000e+05   7.2339000e+01
   4.2850000e+05   7.2463000e+01
   4.2950000e+05   7.2588000e+01
   4.3050000e+05   7.2712000e+01
   4.3150000e+05   7.2835000e+01
   4.3250000e+05   7.2956000e+01
   4.3350000e+05   7.3077000e+01
   4.3450000e+05   7.3197000e+01
   4.3550000e+05   7.3317000e+01
   4.3650000e+05   7.3438000e+01
   4.3750000e+05   7.3558000e+01
   4.3850000e+05   7.3679000e+01
   4.3950000e+05   7.3359000e+01
   4.4050000e+05   7.3479000e+01
   4.4150000e+05   7.3597000e+01
   4.4250000e+05   7.3713000e+01
   4.4350000e+05   7.3802000e+01
   4.4450000e+05   7.3722000e+01
   4.4550000e+05   7.3834000e+01
   4.4650000e+05   7.3950000e+01
   4.4750000e+05   7.4066000e+01
   4.4850000e+05   7.4073000e+01
   4.4950000e+05   7.4189000e+01
   4.5050000e+05   7.4305000e+01
   4.5150000e+05   7.4419000e+01
   4.5250000e+05   7.4532000e+01
   4.5350000e+05   7.4644000e+01
   4.5450000e+05   7.4757000e+01
   4.5550000e+05   7.4869000e+01
   4.5650000e+05   7.4981000e+01
   4.5750000e+05   7.5093000e+01
   4.5850000e+05   7.5205000e+01
   4.5950000e+05   7.5317000e+01
   4.6050000e+05   7.5429000e+01
   4.6150000e+05   7.5540000e+01
   4.6250000e+05   7.5648000e+01
   4.6350000e+05   7.5757000e+01
   4.6450000e+05   7.5866000e+01
   4.6550000e+05   7.5974000e+01
   4.6650000e+05   7.6082000e+01
   4.6750000e+05   7.6190000e+01
   4.6850000e+05   7.6298000e+01
   4.6950000e+05   7.6406000e+01
   4.7050000e+05   7.6514000e+01
   4.7150000e+05   7.6621000e+01
   4.7250000e+05   7.6725000e+01
   4.7350000e+05   7.6830000e+01
   4.7450000e+05   7.6925000e+01
   4.7550000e+05   7.7029000e+01
   4.7650000e+05   7.7134000e+01
   4.7750000e+05   7.7238000e+01
   4.7850000e+05   7.7342000e+01
   4.7950000e+05   7.7446000e+01
   4.8050000e+05   7.7550000e+01
   4.8150000e+05   7.7024000e+01
   4.8250000e+05   7.7124000e+01
   4.8350000e+05   7.7224000e+01
   4.8450000e+05   7.7208000e+01
   4.8550000e+05   7.7307000e+01
   4.8650000e+05   7.7404000e+01
   4.8750000e+05   7.7504000e+01
   4.8850000e+05   7.7604000e+01
   4.8950000e+05   7.7410000e+01
   4.9050000e+05   7.7510000e+01
   4.9150000e+05   7.7608000e+01
   4.9250000e+05   7.7705000e+01
   4.9350000e+05   7.7801000e+01
   4.9450000e+05   7.7897000e+01
   4.9550000e+05   7.7994000e+01
   4.9650000e+05   7.8090000e+01
   4.9750000e+05   7.8186000e+01
   4.9850000e+05   7.8282000e+01
   4.9950000e+05   7.8378000e+01
   5.0050000e+05   7.8474000e+01
   5.0150000e+05   7.8569000e+01
   5.0250000e+05   7.8652000e+01
   5.0350000e+05   7.8743000e+01
   5.0450000e+05   7.8836000e+01
   5.0550000e+05   7.8929000e+01
   5.0650000e+05   7.9021000e+01
   5.0750000e+05   7.9114000e+01
   5.0850000e+05   7.9206000e+01
   5.0950000e+05   7.9290000e+01
   5.1050000e+05   7.9382000e+01
   5.1150000e+05   7.9473000e+01
   5.1250000e+05   7.9563000e+01
   5.1350000e+05   7.9652000e+01
   5.1450000e+05   7.9741000e+01
   5.1550000e+05   7.9830000e+01
   5.1650000e+05   7.9919000e+01
   5.1750000e+05   8.0008000e+01
   5.1850000e+05   8.0097000e+01
   5.1950000e+05   8.0185000e+01
   5.2050000e+05   8.0271000e+01
   5.2150000e+05   8.0359000e+01
   5.2250000e+05   8.0444000e+01
   5.2350000e+05   8.0530000e+01
   5.2450000e+05   8.0615000e+01
   5.2550000e+05   8.0701000e+01
   5.2650000e+05   8.0786000e+01
   5.2750000e+05   8.0871000e+01
   5.2850000e+05   8.0956000e+01
   5.2950000e+05   8.1041000e+01
   5.3050000e+05   8.1126000e+01
   5.3150000e+05   8.1210000e+01
   5.3250000e+05   8.1292000e+01
   5.3350000e+05   8.1373000e+01
   5.3450000e+05   8.1455000e+01
   5.3550000e+05   8.1537000e+01
   5.3650000e+05   8.1619000e+01
   5.3750000e+05   8.1700000e+01
   5.3850000e+05   8.1781000e+01
   5.3950000e+05   8.1863000e+01
   5.4050000e+05   8.1944000e+01
   5.4150000e+05   8.2024000e+01
   5.4250000e+05   8.2102000e+01
   5.4350000e+05   8.2122000e+01
   5.4450000e+05   8.2200000e+01
   5.4550000e+05   8.2279000e+01
   5.4650000e+05   8.2357000e+01
   5.4750000e+05   8.2435000e+01
   5.4850000e+05   8.2514000e+01
   5.4950000e+05   8.2592000e+01
   5.5050000e+05   8.2670000e+01
   5.5150000e+05   8.2747000e+01
   5.5250000e+05   8.2822000e+01
   5.5350000e+05   8.2869000e+01
   5.5450000e+05   8.2944000e+01
   5.5550000e+05   8.3019000e+01
   5.5650000e+05   8.3093000e+01
   5.5750000e+05   8.3168000e+01
   5.5850000e+05   8.3242000e+01
   5.5950000e+05   8.3317000e+01
   5.6050000e+05   8.3391000e+01
   5.6150000e+05   8.3464000e+01
   5.6250000e+05   8.3536000e+01
   5.6350000e+05   8.3607000e+01
